,date,steps,distance,latitude,longitude
0,20160602,8732,6994.0,32.71696,-117.13974
1,20160603,5773,4391.0,33.99882,-118.43657
2,20160604,3083,2232.0,33.99882,-118.43657
3,20160605,6676,4216.0,33.99882,-118.43657
4,20160606,4936,3136.0,33.99882,-118.43657
5,20160607,7130,5342.0,33.99882,-118.43657
6,20160608,4880,3641.0,33.99882,-118.43657
7,20160609,3892,2730.0,33.99882,-118.43657
8,20160611,5363,3946.0,32.804227,-117.25982
9,20160612,3458,2406.0,32.804227,-117.25982
10,20160613,6716,5264.0,33.99882,-118.43657
11,20160614,10767,8138.0,33.99882,-118.43657
12,20160615,7187,5304.0,33.99882,-118.43657
13,20160616,8413,6309.0,33.99882,-118.43657
14,20160617,4068,2671.0,33.99882,-118.43657
15,20160618,10657,6839.0,33.99882,-118.43657
16,20160619,3993,2631.0,33.99882,-118.43657
17,20160620,7070,5209.0,33.99882,-118.43657
18,20160621,10687,7723.0,33.99882,-118.43657
19,20160622,5101,3218.0,33.99882,-118.43657
20,20160623,5173,3153.0,33.99882,-118.43657
21,20160624,5123,3571.0,33.99882,-118.43657
22,20160625,5659,4062.0,33.99882,-118.43657
23,20160626,7959,5273.0,33.99882,-118.43657
24,20160627,4966,3571.0,33.99882,-118.43657
25,20160628,11088,7516.0,33.99882,-118.43657
26,20160629,8744,6223.0,33.99882,-118.43657
27,20160630,3638,2443.0,33.99882,-118.43657
28,20160701,7876,6007.0,33.99882,-118.43657
29,20160702,9360,6166.0,33.99882,-118.43657
30,20160703,5499,3593.0,33.99882,-118.43657
31,20160704,3994,3426.0,33.99882,-118.43657
32,20160705,5201,3538.0,33.99882,-118.43657
33,20160706,4085,3074.0,33.99882,-118.43657
34,20160707,11695,8574.0,33.99882,-118.43657
35,20160708,8904,6869.0,33.99882,-118.43657
36,20160709,17468,12445.0,33.8075847770495,-117.9190767556429
37,20160710,7475,4973.0,33.8075847770495,-117.9190767556429
38,20160711,10261,7587.0,32.8655,-117.222
39,20160712,9948,7402.0,33.99882,-118.43657
40,20160713,9688,7362.0,33.99882,-118.43657
41,20160714,1571,2180.0,33.99882,-118.43657
42,20160715,9900,7574.0,33.99882,-118.43657
43,20160716,3794,2512.0,33.38863,-111.90983
44,20160717,5397,3636.0,33.38863,-111.90983
45,20160718,4750,3992.0,33.99882,-118.43657
46,20160719,5005,3613.0,33.99882,-118.43657
47,20160720,6939,5010.0,33.99882,-118.43657
48,20160721,6044,4047.0,41.138687,-73.341052
49,20160722,5539,3921.0,41.138687,-73.341052
50,20160723,2911,1967.0,41.138687,-73.341052
51,20160724,5986,4218.0,33.99882,-118.43657
52,20160725,9608,7187.0,33.99882,-118.43657
53,20160726,6578,4534.0,33.99882,-118.43657
54,20160727,6997,5968.0,33.99882,-118.43657
55,20160728,8466,5592.0,33.99882,-118.43657
56,20160729,7879,5246.0,33.99882,-118.43657
57,20160730,4789,3066.0,33.99882,-118.43657
58,20160731,8512,6036.0,33.99882,-118.43657
59,20160801,3538,2503.0,33.99882,-118.43657
60,20160802,3897,2745.0,33.99882,-118.43657
61,20160803,5050,3579.0,33.99882,-118.43657
62,20160804,7877,6246.0,33.99882,-118.43657
63,20160805,5993,3995.0,33.60564987968083,-111.9395634346054
64,20160806,6837,4919.0,33.60564987968083,-111.9395634346054
65,20160807,1804,1311.0,33.60564987968083,-111.9395634346054
66,20160808,3381,2311.0,33.99882,-118.43657
67,20160809,5516,3772.0,33.99882,-118.43657
68,20160810,6565,4778.0,33.99882,-118.43657
69,20160811,3060,1957.0,33.99882,-118.43657
70,20160812,6214,4057.0,33.99882,-118.43657
71,20160813,7202,5219.0,33.99882,-118.43657
72,20160814,4383,3185.0,33.99882,-118.43657
73,20160815,9170,6474.0,33.99882,-118.43657
74,20160816,5049,3463.0,33.99882,-118.43657
75,20160817,6235,4127.0,33.99882,-118.43657
76,20160818,7366,5601.0,33.99882,-118.43657
77,20160819,8024,5374.0,33.99882,-118.43657
78,20160820,2434,1680.0,33.99882,-118.43657
79,20160821,10283,6932.0,33.99882,-118.43657
80,20160822,9544,7053.0,33.99882,-118.43657
81,20160823,5329,3527.0,33.99882,-118.43657
82,20160824,8963,6032.0,33.99882,-118.43657
83,20160825,5725,3670.0,33.99882,-118.43657
84,20160826,7486,5535.0,33.99882,-118.43657
85,20160827,9889,7399.0,33.99882,-118.43657
86,20160828,9762,6828.0,33.99882,-118.43657
87,20160829,3948,2545.0,33.99882,-118.43657
88,20160830,8273,5758.0,33.99882,-118.43657
89,20160831,8743,6010.0,33.99882,-118.43657
90,20160901,10820,7933.0,33.99882,-118.43657
91,20160902,4153,2876.0,33.99882,-118.43657
92,20160903,9202,6487.0,33.99882,-118.43657
93,20160904,4851,3662.0,33.99882,-118.43657
94,20160905,2339,2122.0,33.99882,-118.43657
95,20160906,3146,2143.0,33.99882,-118.43657
96,20160907,6854,4886.0,33.99882,-118.43657
97,20160908,7744,5875.0,33.99882,-118.43657
98,20160909,9548,6760.0,33.99882,-118.43657
99,20160910,4458,3085.0,33.99882,-118.43657
100,20160911,5299,3718.0,33.99882,-118.43657
101,20160912,8919,6117.0,33.99882,-118.43657
102,20160913,8939,6276.0,33.99882,-118.43657
103,20160914,4944,3507.0,33.99882,-118.43657
104,20160915,9440,6913.0,33.99882,-118.43657
105,20160916,7958,5441.0,33.99882,-118.43657
106,20160917,5640,3917.0,33.99882,-118.43657
107,20160918,9314,6105.0,33.99882,-118.43657
108,20160919,6055,4474.0,33.99882,-118.43657
109,20160920,8861,7452.0,33.99882,-118.43657
110,20160921,8259,5839.0,33.99882,-118.43657
111,20160922,6785,4722.0,33.99882,-118.43657
112,20160923,6676,4870.0,33.99882,-118.43657
113,20160924,14686,10806.0,33.99882,-118.43657
114,20160925,3308,2121.0,33.99882,-118.43657
115,20160926,6936,5199.0,33.99882,-118.43657
116,20160927,7911,5507.0,33.99882,-118.43657
117,20160928,18056,13154.0,49.27907086823837,-123.1255593287998
118,20160929,18309,12277.0,49.27907086823837,-123.1255593287998
119,20160930,11694,8714.0,49.27907086823837,-123.1255593287998
120,20161001,7617,5662.0,33.99882,-118.43657
121,20161002,3962,2680.0,33.99882,-118.43657
122,20161003,7360,5099.0,33.99882,-118.43657
123,20161004,13770,10460.0,33.99882,-118.43657
124,20161005,5614,4061.0,33.99882,-118.43657
125,20161006,8888,6379.0,33.99882,-118.43657
126,20161007,6822,5211.0,33.99882,-118.43657
127,20161008,4765,3312.0,33.99882,-118.43657
128,20161009,2971,1838.0,33.38863,-111.90983
129,20161010,7299,5267.0,33.99882,-118.43657
130,20161011,6631,4730.0,33.99882,-118.43657
131,20161012,10849,8104.0,33.99882,-118.43657
132,20161013,2812,1872.0,40.73646559474,-73.989121120861
133,20161014,7543,5608.0,40.73646559474,-73.989121120861
134,20161015,5547,4410.0,40.73646559474,-73.989121120861
